feedback_id,customer_id,feedback_text,feedback_date,service_impacted,rating
1,338,Neon's 24/7 customer support has never let me down—there's always someone ready to help,2023-02-13,Broadband,4
2,337,no matter the hour.,2023-05-10,Mobile,4
3,493,making it difficult to manage my account on the go.,2022-11-10,Streaming,1
4,730,I've enjoyed blazing-fast internet speeds on all my devices.,2023-03-20,Broadband,2
5,388,I've enjoyed blazing-fast internet speeds on all my devices.,2023-10-09,Streaming,
6,395,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-05-31,Broadband,1
7,67,and there are no significant benefits for long-term customers like me.,2022-12-11,Streaming,3
8,896,no matter the hour.,2023-01-05,Mobile,1
9,334,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-04-18,Mobile,2
10,688,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-04-12,Mobile,2
11,534,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-05-21,Broadband,3
12,806,no matter the hour.,2023-08-29,Streaming,3
13,54,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-03-29,Mobile,5
14,819,Ever since Neon updated their network in my area,2023-09-06,Broadband,2
15,305,and there are no significant benefits for long-term customers like me.,2023-09-21,Mobile,1
16,279,Despite the quality service,2023-05-06,Broadband,4
17,846,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-03-16,Mobile,3
18,870,I've had recurring issues with Neon's mobile app—it keeps crashing,2022-12-31,Broadband,1
19,460,forcing me to rely on Wi-Fi,2023-03-16,Broadband,1
20,883,forcing me to rely on Wi-Fi,2023-07-10,Mobile,1
21,620,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-10-17,Mobile,2
22,258,I've enjoyed blazing-fast internet speeds on all my devices.,2023-06-20,Mobile,3
23,229,no matter the hour.,2023-10-02,Broadband,1
24,240,Ever since Neon updated their network in my area,2023-05-28,Broadband,5
25,810,I've enjoyed blazing-fast internet speeds on all my devices.,2023-03-18,Streaming,1
26,679,no matter the hour.,2023-05-25,Streaming,4
27,631,and there are no significant benefits for long-term customers like me.,2023-07-20,Broadband,1
28,585,Neon's pricing is becoming prohibitive,2023-10-22,Broadband,3
29,226,making it difficult to manage my account on the go.,2023-06-07,Mobile,5
30,935,I'm thrilled with Neon's rewards program—it's refreshing to see a telco that gives back to loyal customers.,2023-01-13,Streaming,3
31,32,forcing me to rely on Wi-Fi,2023-08-31,,1
32,299,and there are no significant benefits for long-term customers like me.,2023-07-31,Mobile,3
33,708,Neon's signal quality indoors is often weak,2022-12-16,Streaming,5
34,256,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2022-12-01,Broadband,1
35,321,no matter the hour.,2023-08-05,Mobile,2
36,481,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-01-11,Mobile,3
37,249,The recent transition to Neon's new billing system was seamless. I appreciate the clear and detailed invoices.,2023-07-04,Broadband,3
38,381,I'm disappointed with Neon's coverage when I travel. I frequently encounter dead zones on routes where other providers offer consistent service.,2023-07-13,Streaming,5
39,380,I was pleasantly surprised by the knowledge and patience of the Neon technician who installed our home broadband. A real professional!,2023-02-12,Streaming,4
40,913,Neon's response to my lost phone situation was above and beyond—I had a new device and was back up and running in no time.,2023-04-04,Broadband,1
41,701,I've enjoyed blazing-fast internet speeds on all my devices.,2023-06-30,Mobile,4
42,364,Neon's family plan offers incredible value. We've saved a lot and haven't had to compromise on service or features.,2023-07-26,Streaming,1
43,501,I've had recurring issues with Neon's mobile app—it keeps crashing,2023-09-04,Broadband,1
